question,answer_1,answer_2,answer_3,answer_4,correct_answer,Text,Troubles
"Первый звуковой фильм, вышедший на экраны страны в 1931 г.",«Чапаев»,«Путевка в жизнь»,«Цирк»,«Александр Невский»,2,СССР на путях строительства нового общества,
Процесс ликвидации зажиточных крестьянских хозяйств в годы коллективизации сельского хозяйства ,монополизация,секуляризация,раскулачивание,осереднячивание ,3,СССР на путях строительства нового общества,
Отметьте черту новой экономической политики.,национализация крупной и средней промышленности,разрешение концессий с привлечением иностранного капитала,введение натуроплаты за труд,всеобщая трудовая повинность,2,СССР на путях строительства нового общества,
"Мюнхенское соглашение 1938 г., способствовавшее развязыванию Второй мировой войны, было подписано",Великобританией,Польшей,Чехословакией,Испанией,1,СССР на путях строительства нового общества,
"Отметьте, о ком идет речь. Он родился в 1870 г. в городе Гори Тифлисской губернии в семье сапожника. В 1894 г., после духовного училища, принят в Тифлисскую духовную семинарию, но не окончил ее. С 1903 г. стал большевиком. Участвовал в создании газеты «Правда». В 1913 г. написал статью «Марксизм и национальный вопрос», принесшую ему авторитет знатока национального вопроса. Принимал активное участие в подготовке и проведении Октябрьского вооруженного восстания, а после его победы был избран членом ВЦИК и вошел в первое советское правительство в качестве наркома по делам национальностей. В годы Гражданской войны находился на военно-политической работе. В 1922 г. был избран генеральным секретарем ЦК ВКП (б). Укрепив свое положение, расправился с внутрипартийной оппозицией.",А.И. Рыков,С. Орджоникидзе,И.В. Сталин,Л.П. Берия,3,СССР на путях строительства нового общества,
Курс на индустриализацию страны был принят,в 1921 г. на X съезде партии,в 1925 г. на XIV съезде партии,в 1928 г. постановлением Совнаркома,в 1934 г. на XVII съезде партии,2,СССР на путях строительства нового общества,
Что из названного является одной из причин объединения советских республик в единое государство — СССР?,экономическая взаимозависимость республик,необходимость установления религиозного союза,"стремление усилить влияние русских среди народов, проживающих на территории бывшей Российской империи",попытка объединить усилия для подготовки мировой революции,1,СССР на путях строительства нового общества,
Что из названного является одной из причин заключения пакта Молотова—Риббентропа в 1939 г.?,стремление СССР создать систему коллективной безопасности в Европе,необходимость пресечь агрессию Германии в Европе,желание обезопасить страну от вторжения немецко- фашистских войск на ближайшее время,стремление СССР укрепить свой авторитет на международной арене,3,СССР на путях строительства нового общества,1.0
Статья И.В. Сталина «Головокружение от успехов» была опубликована,в 1928 г.,в 1930 г. ,в 1933 г.,в 1938 г.,2,СССР на путях строительства нового общества,
"Реформатор поэтического языка, оказавший огромное влияние на поэзию XX в.",С. Есенин,О. Мандельштам,В. Маяковский,А. Блок,3,СССР на путях строительства нового общества,
Режиссер фильма «Броненосец «Потемкин»,С. Эйзеншейн,А. Довженко,И. Пырьев,Г. Александров,1,СССР на путях строительства нового общества,
"Форма производственного объединения, появившаяся в России в начале XX в., а затем и в годы новой экономической политики",трест,концерн,картель,мануфактура,1,СССР на путях строительства нового общества,
"Денежная реформа, в результате которой был введен «золотой червонец», началась",в 1918 г.,в 1922 г.,в 1925 г.,в 1936 г.,2,СССР на путях строительства нового общества,
"Рапалльские соглашения, положившие начало прорыву внешнеполитической изоляции РСФСР на международной арене, были подписаны в 1922 г.",с Великобританией,с США,с Германией,с Францией ,3,СССР на путях строительства нового общества,
Высший орган государственной власти СССР в соответствии с Конституцией 1924 г.,Всесоюзный съезд Советов,Центральный исполнительный комитет Советов,Совет народных комиссаров,Верховный Суд,1,СССР на путях строительства нового общества,
Сплошная коллективизация была завершена,к 1927 г.,к 1929 г.,к 1932 г.,к 1937 г.,3,СССР на путях строительства нового общества,
В результате индустриализации СССР превратился,"из «страны, ввозящей машины, в страну, их производящую»","из страны, закупающей хлеб, в экспортирующую его",в страну «победившего коммунизма»,"в государство, занимающее одно из ведущих мест по производству промышленной продукции на душу населения",1,СССР на путях строительства нового общества,
Против перекачки средств из деревни в город для проведения индустриализации выступил,Л.Д. Троцкий,И.В. Сталин,Н.И. Бухарин,Н.И. Калинин,3,СССР на путях строительства нового общества,
Деятельность Коминтерна привела,к созданию системы коллективной безопасности в Европе,к обострению отношений с рядом капиталистических государств,к выходу РСФСР из дипломатической изоляции,к сближению с фашистской Германией,2,СССР на путях строительства нового общества,
Нобелевской премии в области литературы в 1933 г. был удостоен,В. Набоков,В. Ходасевич,И. Бунин,А. Куприн,3,СССР на путях строительства нового общества,
"Формирование советской интеллигенции, придерживающейся социалистической идеологии, — это составная часть проводимой в СССР",культурной революции ,монополизации,модернизации,коллективизации,1,СССР на путях строительства нового общества,
Создание крупного машинного производства во всех отраслях народного хозяйства и прежде всего в промышленности называется,индустриализацией,кооперацией,культурной революцией,коллективизацией,1,СССР на путях строительства нового общества,
Генуэзская конференция состоялась,в 1918 г.,в 1921 г.,в 1922 г.,в 1928 г.,3,СССР на путях строительства нового общества,
Что из названного не является характерной чертой нэпа?,создание акционерных обществ,привлечение иностранного капитала в форме концессий,введение трудовой повинности,введение продналога ,3,СССР на путях строительства нового общества,1.0
"Что из названного характеризует тоталитарный режим, складывающийся в СССР?",монопольное господство ВКП (б) на политической арене,"соблюдение демократических прав и свобод, закрепленных в Конституции 1936 г.",рыночная основа экономической системы государства,действие принципа разделения властей,1,СССР на путях строительства нового общества,1.0
"В 1922 г. из РСФСР была выслана группа интеллигенции, в том числе","И.А. Бунин, С.В. Рахманинов, И.А. Ильин","Н.И. Вавилов, А.Ф. Иоффе, Ф.И. Шаляпин","А. Платонов, М. Цветаева, С. Булгаков","С.Л. Франк, Н.О. Лосский, Н.А. Бердяев",4,СССР на путях строительства нового общества,
Что из названного является одним из итогов коллективизации?,повышение производительности труда в колхозах,разорение крестьянских хозяйств и голод,введение частной собственности на землю,возрождение общинной системы,2,СССР на путях строительства нового общества,1.0
"Отметьте, о ком идет речь. В 1918 г. в качестве главы советской делегации подписал Брестский мир. Занимал высокие посты в советском руководстве: был членом Совета Госбанка, членом коллегии Наркомата финансов, членом Президиума ВСНХ, наркомом финансов, заместителем председателя Госплана СССР. В годы Гражданской войны командовал 8-й армией. В 1923 г. активно претворял в жизнь денежную реформу. В 1929 г. был полномочным представителем СССР в Великобритании. В 1936 г. репрессирован, реабилитирован в 1988 г.",Г.Я. Сокольников,А.И. Рыков,Н.Н. Крестинский,Е.А. Преображенский,1,СССР на путях строительства нового общества,
Отметьте одну из причин образования СССР.,необходимость объединения социалистических республик перед угрозой внешнего врага,необходимость восстановления Российского государства в границах империи,заинтересованность иностранных государств в экономическом сотрудничестве с крупным государственным объединением,стремление национальных окраин к восстановлению «единого и неделимого» государства,1,СССР на путях строительства нового общества,1.0
Объединял и возглавлял мировое коммунистическое движение,Комуч,Коминтерн,Пролеткульт,ОСОВИАХИМ,2,СССР на путях строительства нового общества,
Режиссер-постановщик фильма «Александр Невский»,С. Эйзенштейн,В.И. Пудовкин,Д. Вертов,Г. Александров ,1,СССР на путях строительства нового общества,
По секретным протоколам к Пакту о ненападении с Германией 1939 г. к сфере интересов СССР относилась,Турция,Литва,Финляндия,Греция,3,Великая Отечественная война. 1941—1945 гг,
Приказ № 227 «Ни шагу назад!» был издан в связи с наступлением немецко-фашистские войск под,Харьковом,Москвой,Сталинградом,Севастополем,3,Великая Отечественная война. 1941—1945 гг,
Коренной перелом в ходе Великой Отечественной войны произошел,в 1941 г.,в 1942 г.,в 1943 г.,в 1944 г.,3,Великая Отечественная война. 1941—1945 гг,
Антигитлеровская коалиция окончательно сложилась,в июне 1941 г.,в январе 1942 г.,в июне 1942 г.,в июле 1943 г.,3,Великая Отечественная война. 1941—1945 гг,
"Отметьте, о ком идет речь. Родился в Варшаве в рабочей семье. Участвовал в Первой мировой войне, после Октябрьской революции сражался в рядах Красной гвардии. Отличился в боях за КВЖД в 1929 г. В 1937 г. был арестован, но в 1940 г. освобожден в связи с прекращением дела. В годы войны принял участие в боевых действиях под Смоленском и Москвой, в Сталинградском и Курском сражениях, Восточно-Прусской и Берлинской операциях. Дважды удостоен звания Героя Советского Союза. Командовал Парадом Победы 24 июня 1945 г.",К.К. Рокоссовский,Г.К. Жуков,И.С. Конев,И.Д. Черняховский,1,Великая Отечественная война. 1941—1945 гг,
Первый салют прогремел в Москве после успешного завершения,битвы на Курской дуге,Сталинградской битвы,сражения под Ельней,битвы под Москвой,1,Великая Отечественная война. 1941—1945 гг,
Решение о создании Организации Объединенных Наций (ООН) было принято на конференции,Тегеранской,Ялтинской,Потсдамской,Вашингтонской,2,Великая Отечественная война. 1941—1945 гг,
СССР вступил в войну с Японией в 1945 г.,2 мая,9 мая,8 августа,2 сентября,3,Великая Отечественная война. 1941—1945 гг,
"Коллаборационизм — термин, обозначающий",сопротивление врагу,партизанское движение,сотрудничество с врагом,командно-административный метод руководства ,3,Великая Отечественная война. 1941—1945 гг,
"Композитор, один из авторов музыки к песне «Священная война»",М. Блантер,А. Александров,И. Дунаевский,Д. Шостакович,2,Великая Отечественная война. 1941—1945 гг,
Контрнаступление советских войск под Москвой началось,30 сентября 1941 г.,5 декабря 1941 г.,15 января 1942 г.,19 ноября 1942 г.,2,Великая Отечественная война. 1941—1945 гг,
Второй фронт в ходе Второй мировой войны был открыт,в декабре 1942 г.,в июле 1943 г.,в июне 1944 г.,в феврале 1945 г.,3,Великая Отечественная война. 1941—1945 гг,
"Знаменитое танковое сражение в ходе Курской битвы, послужившее началом контрнаступления советских войск, произошло в районе деревни",Крюково,Прохоровка,Петрищево,Хатынь,2,Великая Отечественная война. 1941—1945 гг,
Что из названного является одной из причин неудач Красной Армии в первые месяцы войны?,многократное превосходство немецкой армии по численности войск и боевой технике,"поддержка немецкого наступления населением западных, недавно присоединенных к СССР районов",уменьшение бюджетных ассигнований на оборону,"переоценка собственных сил и недооценка возможностей
противника 
переоценка собственных сил и недооценка возможностей противника",4,Великая Отечественная война. 1941—1945 гг,
План действий немецко-фашистского командования на оккупированной территории,«Уран»,«Цитадель»,«Ост»,«Барбаросса»,3,Великая Отечественная война. 1941—1945 гг,
В Берлинской операции командовали фронтами,"Г. Жуков, И. Конев, К. Рокоссовский","А. Василевский, К. Рокоссовский, К. Ворошилов","С. Буденный, И. Конев, И. Баграмян","Г. Жуков, В. Чуйков, Р. Малиновский",1,Великая Отечественная война. 1941—1945 гг,
Какое из названных событий произошло 6 августа 1945 г.?,Советская Армия начала военные действия против Квантунской армии,открылась Потсдамская конференция,СССР приступил к восстановлению народного хозяйства,США сбросили атомную бомбу на Хиросиму,4,Великая Отечественная война. 1941—1945 гг,
Парад Победы состоялся в Москве,9 мая 1945 г.,4 июня 1945 г.,5 сентября 1945 г.,28 сентября 1945 г.,2,Великая Отечественная война. 1941—1945 гг,
Советские войска соединились с частями союзников по антигитлеровской коалиции 24 июня 1945 г. на реке,Висле,Эльбе,Дунае,Тибре,2,Великая Отечественная война. 1941—1945 гг,
"Кто из названных поэтов был автором «Ленинградской поэмы», написанной в осажденном Ленинграде?",О. Берггольц,К. Симонов,М. Исаковский,А. Твардовский ,1,Великая Отечественная война. 1941—1945 гг,
Верховным Главнокомандующим в июне 1941 г. Стал,Г.К. Жуков,С.К. Тимошенко,И.В. Сталин,М.И. Калинин,3,Великая Отечественная война. 1941—1945 гг,
"Вывоз людей, учреждений, имущества из опасных местностей (во время военных действий, стихийных бедствий и т.п.), перевозка раненых с фронта в тыл, вывод войск из ранее занимаемых ими районов называется",репатриацией,передислокацией,эвакуацией,депортацией,3,Великая Отечественная война. 1941—1945 гг,
Контрнаступление советских войск под Сталинградом началось,9 ноября 1942 г.,18 января 1943 г.,5 июля 1943 г.,7 ноября 1943 г.,1,Великая Отечественная война. 1941—1945 гг,
Тегеранская конференция стран—участниц антигитлеровской коалиции состоялась,в ноябре 1942 г.,в декабре 1943 г.,в феврале 1945 г.,в июле 1945 г.,2,Великая Отечественная война. 1941—1945 гг,
Стратегическая инициатива перешла в руки советского командования после сражения под,Москвой,Курском,Кенигсбергом,Берлином ,2,Великая Отечественная война. 1941—1945 гг,
Кровопролитные бои Красной Армии с немецко-фашистскими войсками развернулись,в Румынии,в Болгарии,в Венгрии,в Финляндии,3,Великая Отечественная война. 1941—1945 гг,
Система укреплений «Восточный вал» была создана гитлеровцами для защиты,Сталинграда,Минска,Киева,Берлина,3,Великая Отечественная война. 1941—1945 гг,
Знаменитое танковое сражение в ходе Курской битвы произошло,5 декабря 1941 г.,19 ноября 1942 г.,12 июля 1943 г.,7 ноября 1943 г.,3,Великая Отечественная война. 1941—1945 гг,
Автор поэмы «Василий Тёркин»,А. Фадеев,А. Твардовский,К. Симонов,М. Исаковский,2,Великая Отечественная война. 1941—1945 гг,
Новые методы противоминной защиты кораблей были разработаны в 1942 г. учеными под руководством,А. Александрова и И. Курчатова,Н. Бурденко,И. Бардина,С. Королева ,1,Великая Отечественная война. 1941—1945 гг,
Государственный комитет обороны — чрезвычайный высший государственный орган в период Великой Отечественной войны был создан,23 июня 1941 г.,30 июня 1941 г.,6 октября 1941 г.,7 ноября 1941 г.,2,Великая Отечественная война. 1941—1945 гг,
Генеральный штаб партизанского движения возглавлял,Г.К. Жуков,Н.И. Кузнецов,П.К. Пономаренко,С. Ковпак,3,Великая Отечественная война. 1941—1945 гг,
В каком году после долгого перерыва состоялось избрание Патриарха Русской православной церкви?,в 1941 г.,в 1942 г.,в 1943 г.,в 1945 г.,3,Великая Отечественная война. 1941—1945 гг,
"В каком году произошла депортация немцев, проживавших в Поволжье?",в 1941 г.,в 1943 г.,в 1944 г.,в 1945 г.,1,Великая Отечественная война. 1941—1945 гг,
Операция советских войск под кодовым названием «Багратион» была проведена с целью освобождения,Белоруссии,Правобережной Украины,Молдавии,Болгарии,1,Великая Отечественная война. 1941—1945 гг,
"Крымская (Ялтинская) конференция «большой тройки» — СССР, США и Великобритании состоялась",в декабре 1943 г.,в июне 1944 г.,в январе 1945 г.,в июне 1945 г.,3,Великая Отечественная война. 1941—1945 гг,
"Отметьте, о ком идет речь. Он родился в крестьянской семье. Начал службу в армии в 1915 г., в Красной армии — с 1918 г. В 1939 г. командовал 1-й армейской группой советских войск в Монголии, которая вместе с монгольской армией разгромила японцев в районе р. Халхин-Гол. За эту операцию он был награжден Звездой Героя Советского Союза. В августе—сентябре 1941 г., являясь командующим войсками Резервного фронта, успешно провел операцию по разгрому немецко-фашистских войск в районе Ельни. В качестве Заместителя Верховного главнокомандующего руководил действиями фронтов под Сталинградом, по прорыву блокады Ленинграда, в битвах под Курском и за Днепр. 8 мая 1945 г. принял капитуляцию вооруженных сил фашистской Германии. 24 июня 1945 г. принимал Парад Победы. Был четыре раза награжден Золотой Звездой Героя.",К.К. Рокоссовский,Г.К. Жуков,И.С. Конев,А.М. Василевский,2,Великая Отечественная война. 1941—1945 гг,
Берлинский гарнизон капитулировал в 1945 г.,6 апреля,30 апреля,2 мая,9 мая,3,Великая Отечественная война. 1941—1945 гг,
Знаменитую песню «Валенки» исполняла на фронтовых концертах,К. Шульженко,Л. Орлова,Л. Русланова,М. Ладынина,3,Великая Отечественная война. 1941—1945 гг,
В фильме «Два бойца» режиссера Л.Д. Лукова актер Марк Бернес исполнил песню,«Темная ночь»,«В лесу прифронтовом»,«Землянка»,«Смуглянка»,1,Великая Отечественная война. 1941—1945 гг,
Что из названного является одной из причин поражения Красной Армии в первые месяцы Великой Отечественной войны?,"малая численность войск, сосредоточенных на границе",недоверие высшего руководства донесениям разведки,убеждение германских войск в своей непобедимости,неспособность государства обеспечить армию новыми видами оружия и военной техники,2,Великая Отечественная война. 1941—1945 гг,
В ходе битвы за Москву отличились солдаты под командованием,И.В. Панфилова,А.И. Родимцева,А.Ф. Федорова,Л.А. Говорова,1,Великая Отечественная война. 1941—1945 гг,
Контрнаступление советских войск под Курском началось,5 июля 1943 г.,12 июля 1943 г.,6 ноября 1943 г.,1 декабря 1943 г.,2,Великая Отечественная война. 1941—1945 гг,
Какое из названных событий произошло позже других?,прорыв блокады Ленинграда,освобождение Севастополя,освобождение Киева,сражение под Ельней,2,Великая Отечественная война. 1941—1945 гг,
Блокада Ленинграда была прорвана,в 1941 г.,в 1942 г.,в 1943 г.,в 1945 г.,3,Великая Отечественная война. 1941—1945 гг,
К очередной годовщине Великой Октябрьской революции Красная Армия освободила город,Севастополь,Киев,Одессу,Минск,2,Великая Отечественная война. 1941—1945 гг,
Операция партизан в тылу врага летом 1943 г. носила кодовое название,«Уран»,«Кольцо»,«Концерт»,«Искра»,3,Великая Отечественная война. 1941—1945 гг,
Акт о безоговорочной капитуляции японских вооруженных сил был подписан,9 августа 1945 г.,3 августа 1945 г.,2 сентября 1945 г.,28 сентября 1945 г.,3,Великая Отечественная война. 1941—1945 гг,
Какое из названных музыкальных произведений было написано и исполнено в блокадном Ленинграде?,Седьмая симфония Д. Шостаковича,опера «Великая дружба» В. Мурадели,Пятая симфония С.С. Прокофьева,«Темная ночь» М. Блантера,1,Великая Отечественная война. 1941—1945 гг,
Кто из названных поэтов является автором знаменитого в годы войны стихотворения «Жди меня»?,К. Симонов,А. Твардовский,М. Исаковский,С. Михалков ,1,Великая Отечественная война. 1941—1945 гг,
Восстановительный период в промышленности составил,25 лет,более 10 лет,около 8 лет,менее 5 лет,4,СССР в 1945—1953 гг,
Что из названного было характерно для экономического развития СССР в послевоенный период?,разрешение в особых случаях распускать колхозы,увеличение капиталовложений в военную промышленность,увеличение масштабов финансовой помощи колхозам,внедрение элементов рыночного хозяйства в социалистическую экономику,2,СССР в 1945—1953 гг,
"У. Черчилль, бывший премьер-министр Великобритании, сделал вывод об опустившемся на Европу «железном занавесе»",в 1946 г.,в 1949 г.,в 1947 г.,в 1952 г.,1,СССР в 1945—1953 гг,
Организация Североатлантического договора (НАТО) была создана,в 1945 г.,в 1947 г.,в 1949 г.,в 1952 г.,3,СССР в 1945—1953 гг,
Какое из названных событий произошло в 1946 г.?,отмена карточной системы распределения продуктов,создание министерств,выселение чеченцев с места традиционного проживания,проведение денежной реформы,2,СССР в 1945—1953 гг,
Во второй половине 40-х — начале 50-х гг. «безродными космополитами» в СССР называли,"лиц, находящихся на оккупированной территории",партийную номенклатуру,репатриантов,представителей интеллигенции еврейской национальности,4,СССР в 1945—1953 гг,
"Вывоз оборудования из Германии с целью возмещения ущерба, нанесенного немецко-фашистскими войсками, назывался",репарациями,конверсией,репатриацией,ленд-лизом,1,СССР в 1945—1953 гг,
"Руководитель Антифашисткого еврейского комитета, погибший в 1948 г.",Ш. Алейхем,С. Михоэлс,В. Мейерхольд,А. Коонен,2,СССР в 1945—1953 гг,
Значительную роль в борьбе с «западничеством» сыграл секретарь ЦК ВКП (б),М.А. Суслов,М.А. Поспелов,А.А. Жданов,Г.М. Маленков ,1,СССР в 1945—1953 гг,
В постановлении ЦК ВКП (б) о журналах «Звезда» и «Ленинград» критике было подвергнуто творчество,А. Ахматовой,М. Исаковского,А. Фадеева,К. Симонова,1,СССР в 1945—1953 гг,
Что из названного является одним из итогов четвертой пятилетки?,окончательное решение «зерновой проблемы» в СССР,повышение уровня жизни населения,создание «стратегических запасов» в военной промышленности,восстановление довоенного уровня развития сельского хозяйства,4,СССР в 1945—1953 гг,
В каком году было сфабриковано «Ленинградское дело»?,в 1945 г.,в 1948 г.,в 1952 г.,в 1953 г.,2,СССР в 1945—1953 гг,
Столкновение интересов СССР и США произошло в начале 50-х гг.,в Корее,в Китае,во Вьетнаме,в Монголии,1,СССР в 1945—1953 гг,
После Великой Отечественной войны было(а) осуществлено(а),введение обязательных сверхурочных работ,введение 8-часового рабочего дня,введение прямого натурального обмена,частичная денационализация мелких предприятий ,2,СССР в 1945—1953 гг,1.0
"Отметьте, о ком идет речь. Руководитель Ленинградского горкома партии в годы Великой Отечественной войны, секретарь ЦК ВКП (б), расстрелянный по «Ленинградскому делу».",А. Жданов,Н. Вознесенский,А. Кузнецов,М. Родионов,3,СССР в 1945—1953 гг,
Какое из названных событий произошло в 1949 г.?,разрыв дипломатических отношений с Югославией,установление коммунистического режима в Чехословакии,сформулирована «доктрина Трумэна»,в США создана атомная бомба,1,СССР в 1945—1953 гг,
Сокращение численности личного состава армии называется,конверсией,демобилизацией,демонополизацией,консервацией,2,СССР в 1945—1953 гг,
Что из названного было характерно для политики СССР по отношению к странам так называемого социалистического лагеря?,военное присутствие,разрешение принять экономическую помощь по плану Маршалла,поддержка идеи многовариантности построения социализма,разрешение многопартийности в странах Центральной и Юго-Восточной Европы,1,СССР в 1945—1953 гг,
Какой из названных художественных фильмов был обвинен в безыдейности?,«Большая жизнь» Л. Лукова,«Весна» Г. Александрова,«Кубанские казаки» И. Пырьева,«Чапаев» братьев Васильевых ,1,СССР в 1945—1953 гг,
В постановлении ЦК ВКП (б) «О декадентских тенденциях в советской музыке» критике подверглись произведения,А. Александрова,И. Дунаевского,В. Мурадели,М. Блантера,3,СССР в 1945—1953 гг,
Четвертый пятилетний план развития народного хозяйства был принят,в 1944 г.,в 1945 г.,в 1946 г.,в 1950 г.,3,СССР в 1945—1953 гг,
В каком году состоялись первые послевоенные выборы в местные органы власти?,в 1946 г.,в 1949 г.,в 1952 г.,в 1953 г.,1,СССР в 1945—1953 гг,
"В Организацию Варшавского договора, созданную в 1955 г., вошли","США, СССР, Великобритания, Франция","СССР, Албания, Болгария, Венгрия, Польша, ГДР, Румыния, Чехословакия","США, Великобритания, Франция, Канада, Италия","СССР, Китай, Афганистан, Вьетнам, Монголия",2,СССР в 1945—1953 гг,
Руководитель Госплана СССР,К. Ворошилов,Н. Вознесенский,Н. Булганин,Н. Хрущев,2,СССР в 1945—1953 гг,
"Укажите хронологические рамки корейского конфликта, в котором приняли участие СССР и США.",945—1947 гг.,1948—1951 гг.,1949—1950 гг.,1950—1953 гг.,4,СССР в 1945—1953 гг,
Отметьте положение «доктрины Трумэна».,образование ООН,оказание экономической помощи европейским государствам,поддержка политических режимов стран Центральной и Юго-Восточной Европы,установление мирных отношений между СССР и США,2,СССР в 1945—1953 гг,
"Возвеличивание роли одного человека, приписывание ему определяющего влияния на ход исторического развития называется",культом личности,деспотизмом,тиранией,гениальностью,1,СССР в 1945—1953 гг,
"Режиссер легендарных фильмов «Броненосец Потемкин», «Иван Грозный»",Л. Луков,И. Пырьев,Г. Александров,С. Эйзенштейн,4,СССР в 1945—1953 гг,
В официальной советской прессе подверглась партийной критике опера,«Великая дружба» В. Мурадели,«Семь красавиц» К. Караева,«Медный всадник» Р. Глиэра,«Война и мир» С. Прокофьева ,1,СССР в 1945—1953 гг,
"Председатель ВАСХНИЛ, развернувший кампанию травли ученых генетиков",Т. Лысенко,С. Михоэлс,С. Вавилов,М. Келдыш,1,СССР в 1945—1953 гг,
Атомная бомба в СССР была испытана,в 1945 г.,в 1947 г.,в 1949 г.,в 1953 г.,3,СССР в 1945—1953 гг,
"«Дело кремлевских врачей», необоснованно обвиненных в попытках убийства высших советских руководителей, было сфабриковано",в 1945 г.,в 1947 г.,в 1949 г.,в 1953 г.,4,СССР в 1945—1953 гг,
Совет экономической взаимопомощи был создан,в 1945 г.,в 1949 г.,в 1950 г.,в 1953 г.,2,СССР в 1945—1953 гг,
Восстановление советской экономики после окончания Великой Отечественной войны началось,с сельского хозяйства,с тяжелой промышленности,с легкой промышленности,с добывающей промышленности,2,СССР в 1945—1953 гг,
Отмена карточной системы распределения продуктов была проведена,в 1945 г.,в 1947 г.,в 1950 г.,в 1952 г.,2,СССР в 1945—1953 гг,
Первый Берлинский кризис разразился,в 1949 г.,в 1948 г.,в 1951г.,в 1953 г.,1,СССР в 1945—1953 гг,
В 1948 г. произошел разрыв отношений между СССР и,Венгрией,Югославией,Китаем,Польшей,2,СССР в 1945—1953 гг,
Отметьте неверную черту «холодной войны»,идеологическое противостояние между супердержавами,расширение политических и экономических контактов между СССР и западными странами,участие в военных конфликтах на стороне третьих стран,гонка вооружений в государствах — лидерах военных блоков,2,СССР в 1945—1953 гг,
