0,1,2,3,4,5
Какая форма государственного правления Сан-Марино?,Княжество,Республика, Герцогство, Архиепископство,2
За чью дочь выдавала себя княжна Тараканова?,Анны Иоанновны, Екатерины I, Петра III,Елизаветы Петровны,4
"какой пьесе Шекспира Мендельсон написал мелодию, известную как свадебный марш?",«Сон в летнюю ночь»,«Много шума из ничего», «Укрощение строптивой», «Комедия ошибок»,1
"Как в государственном праве называется официальное провозглашение (обнародование) закона, принятого парламентом?",Пролификация, Пролексизация,Промульгация, Пролиферация,3
Где были изготовлены самые первые (из дошедших до нас) монеты?,Рим, Шумер, Израиль,Лидия,4
Каким воинским подразделением в 1919 году командовал Чапаев?,Корпусом, Взводом,Дивизией, Полком,3
"Назовите имя героини драмы М. Ю. Лермонтова ""Маскарад""",Мария, Китти, Лиза,Нина,4
"Как называется пневматический ""молоток"" для взламывания асфальта?",Отбойный,Забойный, Убойный, Бесшумный,1
"Что посетила Алиса, попав в Страну чудес?",Глупый завтрак, Непродуманный обед, Безобразный ужин,Безумное чаепитие,4
Какой из городов является столицей Швейцарской конфедерации?,Базель,Берн, Цюрих, Женева,2
Какой химический элемент был впервые получен из морских водорослей?,Йод,Фосфор, Сера, Калий,1
Вождём какого племени был Монтесума?,Майя, Инки, Ирокезы,Ацтеки,4
"В каком направлении НАСА запускает ракеты, чтобы получить преимущество от вращения Земли?",Север, Юг,Восток, Запад,3
Какой город был центром русской колонизации Сибири?,Томск,Тобольск, Тюмень, Иркутск,2
В каком созвездии самая яркая звезда называется Вега?,Орёл,Лира, Гончие Псы, Большая Медведица,2
Какое отчество было у Пьера Безухова?,Александрович, Константинович,Кириллович, Владимирович,3
Чего так боится бленнофоб?,Пыли, Голубого цвета, Длинных волос,Слизи,4
Кто победил на конкурсе ''Мисс Мира'' в 1994 году?,Талиана Варгас, Алёна Казимировская,Айшвария Рай, Инна Зобова,3
Модификацией какого химического элемента является графит?,Углерод,Свинец, Железо, Кремний,1
К какому классу относится большинство известных видов животных?,Млекопитающие, Рыбы, Птицы,Насекомые,4
Как в досоветской России называлась стоянка извозчиков?,Биржа,Рынок, Ставка, Торги,1
Как называется южноамериканский аналог степи?,Саванна, Тундра, Прерия,Пампасы,4
"Как называют боковые побеги томата, вырастающие из пазух листьев?",Свояки, Золовки,Пасынки, Падчерицы,3
Сколько резцов во рту здорового человека?,8,6, 2, 4,1
На какой конференции союзники по антигитлеровской коалиции создали ООН?,Сан-Франциской,Тегеранской, Постдамской, Ялтинской,1
Какая организация ведала в России XVIII века государственными расходами?,Юстиц-коллегия, Ревизион-коллегия,Штатс-коллегия, Камер-коллегия,3
В каком городе был открыт первый в СССР рок-клуб?,Ленинград,Москва, Вильнюс, Тбилиси,1
"Название какого животного с греческого переводится как ""водяная лошадь""?",Носорог,Гиппопотам, Утконос, Ламантин,2
Какая страна ежегодно дарит Великобритании к Рождеству роскошную ёлку?,Финляндия, Швеция, Дания,Норвегия,4
Как с исландского переводится имя певицы Бьорк?,Осина, Ольха, Ясень,Берёза,4
Назовите административный центр Амурской области.,Хабаровск, Владивосток, Иркутск,Благовещенск,4
"Какую фамилию носила управдом в фильме ""Бриллиантовая рука"" в исполнении Нонны Мордюковой?",Хвощ, Мощь,Плющ, Борщ,3
Кем по специальности был Петр Ильич Чайковский?,Юристом,Химиком, Художником, Врачом,1
"Какого путешественника туземцы Новой Гвинеи прозвали ""человеком с луны""?",Джеймса Кука,Миклухо-Маклая, Френсиса Дрейка, Тура Хейердала,2
"Отзвук произведения какого автора использовал А.С.Пушкин в первой строке ""Евгения Онегина""?",Крылов,Державин, Барков, Лафонтен,1
Из скольки фунтов состоит американская тонна?,1000,2000, 200, 100,2
"Укажите название свободного населения Древней Греции, обладавшего гражданскими правами",Метеки,Демос, Демиурги, Периэки,2
Из чего сделан корпус кларнета?,древесина,никель, олово, медь,1
"Как называется линия, изображающая процесс, происходящий без теплообмена с окружающей средой?",Изобара, Изохора, Изотерма,Адиабата,4
Кто был первым талисманом чемпионата мира по футболу?,Пастушок Гаучито, Пёс Стайкер,Львёнок Вилли, Петушок Футикс,3
Какая точка одинакова для шкал Цельсия и Фаренгейта (оба термометра покажут одно и то же)?,0 градусов, +32 градуса,-40 градусов, -18 градусов,3
"Как говорят о человеке, у которого нижняя одежда торчит из-под верхней?",из-под зимы лето, из-под утра вечер, семь пятниц на неделе,из-под пятницы суббота,4
"Кто написал «Камаринскую», о которой П. И. Чайковский сказал, что в ней «заключена вся русская симфоническая музыка»?",Н. А. Римский-Корсаков,М. И. Глинка, М. П. Мусоргский, А. П. Бородин,2
Король какой страны подарил Петру I Янтарную комнату?,Швеции, Франции,Пруссии, Дании,3
Какая достопримечательность находится на берегу реки Джамна?,Ангкорвоат, Топкапы,Тадж Махал, Запретный город,3
"Какая рыба, чтобы освободиться от крючка, часто ""делает свечу""?",Осетр, Налим,Щука, Карась,3
"Кто из лауреатов Нобелевской премии является одним из ""отцов"" лазера?",П. Л. Капица,А. М. Прохоров, А. Д. Сахаров, Л. Д. Ландау,2
Монахи какого ордена ведали инквизицией наряду с доминиканцами?,Францисканцы,Бернардинцы, Паулины, Бенедиктинцы,1
"Кто из этих великих целителей прошлого написал трактат ""О медицине""?",Цельс,Гиппократ, Авиценна, Парацельс,1
"Как назывался пражский трактир, в котором арестовали бравого солдата Швейка?","""У площади"""," ""У кружки""","""У чаши"""," ""У рюмашки""",3
Кто был первым чемпионом мира по шахматам?,Ласкер, Алехин, Калабланка,Стейниц,4
Из чего сделаны пластинки ксилофона?,Из пластмассы,Из дерева, Из меди, Из стали,2
Какой остров раньше назывался Формозой?,Таити, Гаити, Калимантан,Тайвань,4
Какой химический элемент имеет символ Rn?,Рутений, Рений,Радон, Рубидий,3
От слова какого языка произошло слово хоругвь?,Монгольский,Польский, Старославянский, Крымскотатарский,1
Что украшает центр Дворцовой площади в Санкт-Петербурге?,Ростральные колонны, Памятник Петру I,Александрийская колонна, Броневик Ленина,3
"Какие животные, согласно ""Илиаде"", содержались в стойлах царя Авгия, которые очистил Геракл?",Овцы,Быки, Лошади, Единороги,2
Чьё имя до 1924 года носила пионерская организация Советского Союза?,Ленина, Троцкого, Макаренко,Спартака,4
В каком городе обосновалось коллаборационистское правительство Петена в период оккупации Франции немецкими войсками?,Реймс, Шартр, Бурж,Виши,4
"Как называлась северо-восточная часть франкского государства Меровингов, в 6-7 вв. временами обособлявшаяся в отдельное королевство?",Дакия, Франкония, Остзея,Австразия,4
"Название какого головного убора само говорит, что его задача — создавать тень?",канотье, панама,сомбреро, стетсон,3
Где были выкованы металлические звенья Невской ограды Летнего сада?,В Екатеринбурге,В Туле, В Санкт-Петербурге, В Москве,2
"Кто создал Лестерский кодекс - тетрадь научных работ, которую Билл Гейтс приобрел за 30 миллионов долларов?",Лейф Эрикссон, Юлий Цезарь, Иоганн Гутенберг,Леонардо да Винчи,4
Чего боится охлофоб?,Змей, Открытого пространства, Наказания,Толпы,4
"Как в Древнем Риме называли жрецов (или жриц), гадавших только по внутренностям жертвенных животных?",Авгуры, Весталки, Бестиарии,Гаруспики,4
Какой хан Золотой Орды ввел там ислам в качестве государственной религии?,Азис,Узбек, Тохтамыш, Чжанибек,2
Что создал выходец из России Давид Сарнов?,MTV, CNN, BBC,NBC,4
Кто такие парсы?,Каста в Индии, Исмаилиты,Зороастрийцы, Ловцы жемчуга,3
"Каким типом корабля был ""Кореец"", храбро сражавшийся вместе с ""Варягом"" против японской эскадры?",Канонерская лодка,Миноносец, Торпедный катер, Десантный корабль,1
В каком месяце 1941 г. японская авиация напала на Пёрл-Харбор?,Сентябрь,Декабрь, Октябрь, Ноябрь,2
"Как звали царя, трое сыновей которого тоже стали русскими царями?",Михаил, Фёдор, Пётр,Алексей,4
Какая участь постигла национальное достояние Южной Кореи — городские ворота XIV века Суннемун?,их сжёг злоумышленник,разрушены землетрясением, съедены жучком, разрушены землетрясением,1
Что в Якутии после Октябрьской революции 1917 года использовали вместо бумажных денег?,берестяные грамоты, почтовые марки,винные этикетки, театральные билеты,3
В каком году Фернан Магеллан отправился в кругосветное плаванье?,1542, 1507,1519, 1531,3
Последняя жена Генриха VIII,Екатерина Ховард,Екатерина Парр, Анна Клевская, Евгения Сеймор,2
На какой радиостанции работает Николай Фоменко?,Наше радио,Русское радио, Не наше радио, Европа плюс,2
Выше какого здания Николай I запретил строить дома в Санкт-Петербурге?,Исаакиевский собор, Смольный институт, Адмиралтейство,Зимний дворец,4
Какую внешнюю политику называют дипломатией канонерок?,Консервативную, Выжидательную,Открытого насилия, Дружественную,3
"Как называется коллекционирование музыкальных, литературных и других звукозаписей?",Филокартия,Филофония, Филумения, Филателия,2
Чьим спутником является Харон?,Нептуна, Юпитера,Плутона, Урана,3
В каком из этих фильмов две главные роли сыграли Л. Касаткина и П. Кадочников?,"""Медовый месяц""","""Укрощение строптивой"""," ""Вызываем огонь на себя"""," ""Мать Мария""",1
"В какую часть ""Божественной комедии"" Данте поместил Адама?","""Ад"""," ""Чистилище""", Он не писал о нем,"""Рай""",4
Чему равен один британский фут?,30.50 см,30.48 см, 30.52 см, 30.43 см,2
"Какая самая высокая гора на Урале, если считать до начала разработки некоторых из них?",Благодать, Магнитная, Ямантау,Народная,4
Кто был вторым космонавтом?,Титов,Гагарин, Терешкова, Армстронг,1
Кто такая золовка?,Сестра жены,Сестра мужа, Жена брата, Дочь крестной,2
К каким обезьянам относился Пират. сыгравший в фильме «Полосатый рейс»?,Мартышки, Макаки,Шимпанзе, Павианы,3
Кто из конкистадоров покорил империю инков?,Васко Нуньес де Бальбоа,Франсиско Писарро, Эрнан Кортес, Франсиско де Орельяна,2
Какую продукцию долгое время единственный в стране выпускал Сясьский комбинат в Ленинградской области?,Туалетную бумагу,Спички, Клей, Телевизоры,1
Назовите основную денежную единицу Венгрии?,Лев,Форинт, Фартинг, Толар,2
Назовите природную среду обитания страуса эму,Австралия,Африка, Южная Америка, Индонезия,1
Кого или что Леонид Семаков в своей песне назвал зеленогорбыми верблюдами?,туристов,черепах, волны, холмы,1
Что изучает колеоптеролог?,Ископаемых птиц, Змей, Червей,Жуков,4
"Кем, согласно древнегреческой мифологии, Электра приходилась Оресту?",Мать,Сестра, Дочь, Жена,2
Как называются денежные купюры Армении?,комедии,драмы, трагедии, фарсы,2
Что на Руси называли ветрилом?,Киль, Палубу, Борт,Парус,4
Облик каких животных принимают отражения лебедей на картине Сальвадора Дали?,слонов,жирафов, пингвинов, страусов,1
Какая единица в системе СИ носит имя изобретателя Николы Тесла?,Магнитной индукции,Электрической проводимости, Радиоактивности, Напряжения,1
Гибрид каких злаков называется ТРИТИКАЛЕ?,Овес и рис, Просо и ячмень, Пшеница и ячмень,Рожь и пшеница,4
Сколько опер написано Бетховеном?,2, 3,1 (Фиделио), 4,3
"Что в царской России, кроме обычного инвентаря, входило в экипировку дворника?",Револьвер, Сабля, Жезл,Свисток,4
Из какой пьесы Чехова Фаина Раневская взяла свой псевдоним?,"""Вишневый сад""","""Три сестры"""," ""Свадьба"""," ""Чайка""",1
"От названия какой части ноги произошло английское слово ""футбол""?",голень, колено, бедро,ступня,4
Каким было полное имя набоковской Лолиты?,Долорес,Лора, Лаура, Элоиза,1
В какой стране в Средние века был впервые получен этиловый спирт?,Россия, Германия, Франция,Италия,4
Как назывался город Алма-Ата до 1921 г.?,Гордый, Крепкий,Верный, Твердый,3
"Во время какого крестьянского восстания происходит действие пушкинской ""Капитанской дочки""?",Емельяна Пугачева,Нестора Махно, Степана Разина, Ивана Болотникова,1
"На пьедестале чьего памятника высечены слова: ""Остановивший Солнце, сдвинувший Землю""?",Галилео Галилей,Николай Коперник, Джордано Бруно, Клавдий Птолемей,2
Что означает название месяца октябрь?,жёлтый,восьмой, дождливый, десятый,2
Какое море называют дамским?,Адриатическое, Мраморное, Тасманово,Саргассово,4
"Какой английский футбольный клуб называют ""дачниками""?",Эвертон,Фулхэм, Астон Вилла, Болтон,2
Назовите старшую из великих княжон - дочерей Николая II,Анастасия, Мария, Татьяна,Ольга,4
С кем сравнивает себя находящийся в постоянных хлопотах человек?,С пауком в банке, С белкой в колесе,С белкой в колесе, С птицей в клетке,3
Сколько струн у контрабаса?,3, 5,4, 6,3
"Назовите имя учёного монаха, который первым предложил в 525 г. вести начало счёта годов от рождества Христова.",Гимелий, Парфений, Климентий,Дионисий,4
"Кто написал сказку ""Спящая царевна""?",И. А. Крылов,В. А. Жуковский, М. В. Ломоносов, А. П. Чехов,2
Какое море соединяется с Мраморным проливом Босфор?,Адриатическое,Черное, Эгейское, Средиземное,2
Среди какого народа долго жил Миклухо-Маклай?,Маори, Алеуты,Папуасы, Самоанцы,3
"Как звали Чацкого из ""Горе от ума""?",Александр Андреевич,Алексей Андреевич, Александр Сергеевич, Андрей Александрович,1
В каком городе находится мечеть с самым высоким в мире минаретом?,Касабланка,Стамбул, Мекка, Джакарта,1
"Какой советский космический корабль в 1975 году пристыковался к американскому ""Аполлону""?","""Восток-6"""," ""Восход-2"""," ""Прогресс-8""","""Союз-19""",4
В какой стране расположен город Антверпен?,Нидерланды, Дания, Германия,Бельгия,4
Чем скрепляются между собой различные металлические элементы Эйфелевой башни?,заклёпками,болтами, сварными швами, шурупами-саморезами,1
Что в 1966 году открыли Советские ученые в Антарктике на глубине трех километров?,Затонувший корабль, Огромный метеорит,Пресное озеро, Залежи урана,3
"В каком году было т. н. Кровавое воскресенье в Лондондерри, Сев. Ирландия?",1969, 1976,1972, 1974,3
Сколько мест в стандартном российском плацкартном вагоне?,48, 52,54, 56,3
"Какой плод на латыни называется ""армянской сливой""?",алыча, персик,абрикос, айва,3
Сколько длилась дней Великая Отечественная Война?,1520, 1456,1418, 1475,3
Раньше в примитивных светильниках использовалось деревянное масло. Что это за масло?,Подсолнечное, Льняное,Оливковое, Рыбий жир,3
В какой стране в 1960 году Сиримаво Бандаранаике стала первой женщиной премьер-министром?,Шри-Ланка,Малайзия, Тайланд, Пакистан,1
"Полуостров, разделяющий моря Карское и Лаптевых.",Атолл, Новая Земля, Сахалин,Таймыр,4
"Сколько попыток в самом начале игры даётся игроку в боулинг, чтобы сбить 10 кеглей?",Одна,Две, Три, Четыре,2
Укажите годы жизни М. Мусоргского?,1891-1953, 1840-1893,1839-1881, 1792-1856,3
Какой хореограф более 30 лет сотрудничал с композитором Игорем Стравинским?,Майа Плисецкая, Михаил Барышников, Марта Грэм,Джордж Баланчин,4
"Какой из легковых автомобилей, производившихся в бывших соц. странах, был фактически советской ""Победой""?","""Варшава""","""Дачиа"""," ""Застава"""," ""Трабант""",1
Как зовут главных героев повести ''Ночевала тучка золотая'' А.Приставкина?,Саша и Петя, Саша и Вася,Саша и Коля, Саша и Ваня,3
Чьими снами интересовались поэт Михаил Матусовский и композитор Владимир Шаинский в совместной песне?,Медного всадника, Исаакиевского собора, Ростральной колонны,Крейсера «Аврора»,4
"В чьи обязанности вxодит указывать крановщику, как поднимать и куда доставлять груз?",Кровельщик, Каменщик, Плановик,Такелажник,4
Кто от имени советского Верховного Главнокомандования принял капитуляцию фашистской Германии?,Жуков,Рокосовский, Конев, Молотов,1
В каком городе происходит действие фильма «Асса»?,Алушта, Сочи, Кисловодск,Ялта,4
Действие какой из новелл Проспера Мериме протекает на Корсике?,"""Таманго"""," ""Партия в триктрак""","""Маттео Фальконе"""," ""Этрусская ваза""",3
Как в СССР называлась одна из разновидностей лотереи?,"""Старт"""," ""Кросс"""," ""Ринг""","""Спринт""",4
"Кто написал поэму ""Ода к радости""?",Мартин Лютер, Иоганн Вольфганг фон Гёте, Генрих Гейне,Фридрих Шиллер,4
Информацию о чём содержит в себе древнеегипетский папирус Ринда?,Математика,Политика, Религия, Любовь,1
Как зовут самую знаменитую героиню детской писательницы Памелы Трэверс?,Пеппи Длинный чулок, Тутта Карлссон, Гермиона Грейнджер,Мэри Поппинс,4
В каком чине был выпущен из лицея Александр Пушкин?,Надворный советник,Коллежский секретарь, Коллежский регистратор, Титулярный советник,2
"""Фирменным"" спектаклем какого театра является ""Принцесса Турандот""?","""Ленком""", Сатиры,Имени Вахтангова, БДТ,3
Что поручено охранять сотне стражников швейцарской гвардии?,штаб-квартиру ООН,папу и Ватикан, Букингемский дворец, Белый дом в Вашингтоне,2
Автор романа Триумфальная арка?,Ремарк,Дюма, Пикуль, Конан Дойль,1
Какой советский маршал в 1948 году стал министром национальной обороны Польши?,Рокоссовский,Малиновский, Жуков, Конев,1
"Какой из этих романов написан не кем-нибудь из сестер Бронте (Шарлоттой, Эмили или Анной)?",Шерли, Агнес Грей,Аргонавты, Грозовой перевал,3
Детективные произведения какого автора почти всегда связаны со скачками и скаковыми лошадьми?,Джеймс Чейз, Гордон Диксон, Филипп Дик,Дик Фрэнсис,4
Что можно сделать с помощью постромок?,научиться плавать, посеять что-либо,запрячь лошадь, повесить картину,3
С какого события начинается летоисчисление древних Греков?,С первой олимпиады,Троянская война, Сотворение мира, Основание Афин,1
"Рыба, вьющая гнезда в заросляx водорослей.",Угорь, Осетр, Камбала,Морская колюшка,4
"Слово ""энциклопедия"" греческого происхождения. Что оно означает дословно?",Широкий круг сведений, Детский кружок творчества, Фундамент образования,Обучение в полном круге,4
Древнее название этой столицы европейского государства — Виндобона.,Вадуц, Вильнюс, Лиссабон,Вена,4
"Название какого европейского города первоначально означало ""датский город""?",Данди, Дюнкерк,Таллин, Гданьск,3
"В песне в поётся: ""Что стоишь, качаясь, тонкая рябина, головой склоняясь до самого тына"". А что такое ""тын""?",Задняя стена дома, Крыльцо, Сеновал,Забор,4
Как называлась первая династия франков?,Каролинги, Капетинги, Валуа,Меровинги,4
"Кого, кроме Гамлета, играл в народном театре Юрий Деточкин — герой фильма «Берегись автомобиля»?",Хлестакова,Чацкого, Онегина, Отелло,2
Какой математический знак указывает на порядок действий?,Равно, Интеграл,Скобки, Модуль,3
В каком городе родилась известная актриса Фаина Раневская?,Москва, Одесса,Таганрог, Ялта,3
Сколько шашек находится на доске в начале партии в русские шашки?,12,24, 36, 40,2
"Какой показатель является неизменным в автогонках, с 1923 года проходящих около французского города Ла-Ман?",время,скорость, количество участников, расстояние,1
Здание какого вокзала Москвы спроектировал архитектор К.Тон - автор Оружейной палаты Кремля?,Курского,Ленинградского, Киевского, Рижского,2
"Как звали следователя из романа Ф. М. Достоевского ""Преступление и наказание""?",Перфилий Павлович, Порфирий Павлович,Порфирий Петрович, Перфилий Петрович,3
Кто был первым программистом?,Чарльз Беббидж, Блез Паскаль,Ада Байрон, Билл Гейтс,3
Какой остров самый большой по площади в мире?,Калимантан, Австралия,Гренландия, Сахалин,3
"Сколько кораблей вернулось, совершив первое кругосветное плаванье в экспедиции Магеллана, в Севилью?",Два, Три,Один, Четыре,3
Что драматург Пьер Огюстен Бомарше преподавал дочерям Людовика XV?,Литературу, Историю,Музыку, Французский язык,3
Когда возникло первое славянское государственное образование на Балканском п-ове - Семь славянский племён?,5-й век, 6-й век,7-й век, 8-й век,3
Кто из этих великих художников долго жил на Таити?,Сезанн, Дега,Гоген, Матисс,3
Как герой фильма «Белорусский вокзал» назвал свой батальон?,Непромокаемый,Непотопляемый, Непобедимый, Неприступный,1
Под каким именем Эрих Вейсс достиг всемирной славы?,Гарри Гудини,Тони Вейсмюллер, Фред, Макс Линдер,1
Самая высокая гора мира?,Аконкагуа, Килиманджаро, Мак-Кинли,Эверест,4
"Какой английский писатель придумал слово ""лилипут""?",Даниель Дефо, Уильям Теккерей,Джонатан Свифт, Чарльз Диккенс,3
"Какую кличку носил герой Миронова из кинофильма ""Бриллиантовая рука""(по сценарию)?","Граф (Геннадий Петрович Козодоев, он же Геша)",Князь, Барон, Купец,1
В каком городе родился пророк Мухаммед (Магомет)?,Медина,Мекка, Мемфис, Дамаск,2
"Что означает немецкое словосочетание ""крафт тойфель"", от которого произошло слово ""картофель""?",Дьявольская сила,Земляная пища, Чудесный плод, Богатырский дух,1
Кто из русских царей написал свод уставов по соколиной охоте?,Иван Грозный,Алексей Михайлович, Пётр I, Пётр III,2
Какое ремесло возрождал в России Михаил Васильевич Ломоносов?,Керамику, Литьё, Ковку,Мозаику,4
Как звали мать Родиона Раскольникова?,Авдотья Романовна, Марфа Петровна, Лизавета Ивановна,Пульхерия Александровна,4
Какая из пряностей приготавливается из цветочных бутонов?,Гвоздика,Горчица, Корица, Тмин,1
Музыку какого композитора Андрей Тарковский использовал в фильме «Солярис»?,Моцарт,Бах, Бетховен, Гендель,2
4 пенса в старину?,Гроут,Фартинг, Полукрона, Шиллинг,1
Что такое наргиле?,Вид кальяна,Сорт сливы, Арбузный мед, Верблюжья колючка,1
Какой из этих диснеевских мультфильмов был создан раньше остальных?,"""Бемби""","""Белоснежка и семь гномов"""," ""Золушка"""," ""Пиноккио""",2
Какое из этих старинных орудий имело длинный ствол и применялось для стрельбы на дальние расстояния?,Единорог,Кулеврина, Мортира, Пищаль,2
Чем становятся абрикосы высушенные вместе с косточкой?,Курагой, Кайсой,Урюком, Сабзой,3
Какова высота футбольных ворот?,200 см,244 см (8 футов), 264 см, 190 см,2
Источником какого металла является минерал киноварь?,Вольфрама,Ртути, Железа, Меди,2
"Как называют музыканта, играющего на сопилке?",сопильник,сопилкарь, соплист, сопилюшник,2
Кто забил решающий мяч за сборную Франции в финале чемпионата Европы по футболу 2000 года?,Зидан, Анри,Трезеге, Вильторд,3
"На какого популярного в начале 70-х певца сочинили эпиграмму ""Прекрасно быть певцом и со своим лицом!""?",Муслим Магомаев, Эдуард Хиль,Кола Бельды, Иосиф Кобзон,3
"Как звали одного из самых колоритных персонажей оперетты Кальмана ""Принцесса цирка""?",Баклан,Пеликан, Фламинго, Буревестник,2
В каком стиле работал архитектор Растрелли?,Готика, Классицизм, Рококо,Барокко,4
Какой штат наименьший по площади в США?,Род-Айленд,Канзас, Коннектикут, Делавэр,1
Когда празднуют Всемирный день здоровья?,В январе, В августе,В апреле, В ноябре,3
"Кто сказал ""Государство - это я!""?",Октавиан Август, Наполеон Бонапарт,Людовик XIV, Борис Березовский,3
В каком заповеднике в 1991 году произошло тайное подписание акта о расформировании СССР?,Тебердинский,Беловежская пуща, Шульган-Таш, Брянский лес,2
"На основе какого напитка готовится коктейль ""Маргарита""?",Ром, Водка,Текила, Коньяк,3
"Как звучит полное имя главной героини повести Тургенева ""Ася""?",Анна,Анастасия, Александра, Ксения,1
"Как звучит буквальный перевод с французского юридического термина ""форс-мажор""?",Внезапное событие, Изменение условий,Непреодолимая сила, Безвыходная ситуация,3
Как называется место для одного локомотива в железнодорожном депо?,Стойло,Гараж, Ангар, Сектор,1
"Как полиграфисты называют привычную нам форму книги, пришедшую на смену древним свиткам?",Суффикс, Люрекс, Журфикс,Кодекс,4
Как называется свод условных знаков и пояснений к карте?,Легенда,Абрис, Кроки, Кодекс,1
В какой столице состоялся первый конкурс российских красавиц?,Петербург, Москва,Париж, Лондон,3
Сколько стихотворных строк в любом сонете?,14,12, 16, 18,1
"Какая программа Российского телевидения занесена в книгу ""Рекордов Гиннеса""?",Очевидное-невероятное, В мире животных,Клуб путешественников, Что? Где? Когда?,3
Как называется партизанская война в Испании и Латинской Америке?,Герилья,Бандерилья, Сендерилья, Гереро,1
Какой актрисе Нико Пиросмани подарил миллион алых роз?,Марлен Дитрих, Вера Холодная, Полина Виардо,Марго Де Севр,4
В какой праздник немец Матиас Руст посадил свой самолет возле Красной площади?,День милиции, День чекиста,День пограничника, День авиации,3
Какое из этих слов означает также и род деревьев?,Балка, Арка, Остов,Каркас,4
Какой химический элемент обозначается Pb?,Золото, Олово, Полоний,Свинец,4
Какой из этих российских придворных чинов был ниже остальных?,Камергер,Гофмейстер, Гофмаршал, Шталмейстер,1
Кто из неуловимых мстителей выкрал стратегическую карту из кабинета полковника Кудасова?,Данька, Яшка, Ксанка,Валерка,4
Где родилось выражение «момент истины»?,В суде, В церкви,На корриде, На дуэли,3
Какая страна первая потопило судно с помощью торпеды?,Россия,Великобритания, Германия, Турция,1
"Как ботаник классифицирует растение, известное в России как Иван-да-Марья?",Фиалка полевая,Фиалка трехцветная, Фиалка душистая, Фиалка собачья,2
Амплуа династии цирковых артистов Кантемировых?,Иллюзионисты,Наездники-джигиты, Эквилибристы, Дрессировщики,2
Что является главным компонентом болотного газа?,Водород,Метан, Ацетилен, Сероводород,2
"Кто автор бессмертной ""Похвалы Глупости""?",Эразм Роттердамский,Ларошфуко, Франсуа Рабле, Вольтер,1
"Как раньше называлось парусное судно ""Крузенштерн"", которое ходит под российским флагом?","""Пекин"""," ""Пассат"""," ""Проссейн""","""Падуя""",4
"Что в старину означало слово ""браный""?",Вытканный с узорами,Имеющий отношение к войне, Обработанный бороной, Богохульный,1
Какое оружие помогло зажечь олимпийский огонь на играх в Барселоне?,копьё, винтовка, пистолет,лук,4
Какой породы была тургеневская Муму?,Спаниель,Пудель, Болонка, Дворняжка,1
Кто автор высказывания «Любите книгу — источник знаний»?,Ленин,Горький, Маяковский, Луначарский,2
Где правит королевский дом Бернадотов?,Монако, Англия, Норвегия,Швеция,4
